id;month;external_agent_daily_hours_avg;daily_hour_avg;avg_hours_to_answer_calls;total_hours_to_answer_calls;total_received_calls;total_attended_calls;attended_calls_percentage;avg_daily_attended_calls;avg_daily_attended_calls_by_external;avg_daily_attended_calls_by_external_by_day;avg_daily_attended_calls_by_internal;total_received_chats;total_attended_chats;total_received_mails;total_attended_mails
1;ugh;25978.56;8041.56;2521;31471.48;16531;15835;7778.61;14958.18;1498.74;20151.69;3945.12;22946;23754;27806;19336
2;cajole degrade times;31631.64;7864.13;16824;1420.26;14227;12523;15473.33;31561.2;7451.83;6703.84;28662.73;172;16941;5876;29693
3;worth;26005.99;24054.11;511;32344.16;22655;9305;21449.81;20261.81;9917.52;29427.68;5154.21;13295;24013;21806;14216
4;broadly;19095.13;17169.69;26076;12006.9;8294;15126;14382.48;20427.75;12926.29;8837.91;31691.52;3323;7980;19343;19791
5;oversimplify often to;31176.59;15275.87;17118;26966.22;17296;13466;17604.38;3642.12;12257.55;10377.25;3375.18;10027;10016;17877;15726
6;storyboard likewise round;11355.51;569.81;13578;20462.84;13694;29669;6328.38;22901.83;22447.3;11123.85;30192.81;12660;5370;25871;23836
7;unto clown hoon;27611.12;3492.49;10182;12361.8;15469;14929;4874.47;8084.22;14886.95;28361;21252.38;6368;11509;16017;4046
8;editorialize boss;16389.22;22346.92;26163;29094.6;8147;9107;16817.29;13225.6;21341.22;21455.42;11065.14;11704;29836;20647;25504
9;curler boohoo;29263.88;19895.45;24680;19495.47;7034;15740;17171.49;1652.6;2951.04;27907.02;17404.08;11678;13765;23065;3717
10;contractor;11599.49;15678.38;25517;10352.63;31332;17588;11317.49;27607.68;18168.28;4542.89;24667.29;25883;12387;12255;31137
